variable_name,corr_next_spread,reg_beta,reg_t,reg_p,low_state_mean,mid_state_mean,high_state_mean,extreme_gap,pre_corr,post_corr,sign_of_relationship,rough_strength,stable_across_subperiods,preliminary_decision
z_dDEF,0.015830722465338072,0.001030186935856886,0.26994302861027797,0.7872040834737747,-0.0001258531174917474,-0.002140410834016893,-0.0008342303288943869,-0.0007083772114026395,,0.015830722465338072,positive,weak,False,drop
z_dTERM,0.2448580741857809,0.01486225144994298,3.3206605145575194,0.0008980470154297094,-0.018160097218682454,0.002609362649788555,0.012450240288490875,0.03061033750717333,,0.2448580741857809,positive,strong,False,review
z_TERM,0.22306242123830178,0.01173113650428431,2.368931841438417,0.01783954068914686,-0.024347173047089755,0.012451821996853189,0.008794856769833537,0.033142029816923296,,0.22306242123830178,positive,strong,False,review
z_cyclical_3m,0.13948391056666737,0.005332416229979114,2.1221346030620984,0.03382643633372927,-0.012292735054130416,-0.00256668585006387,0.011598123760706442,0.02389085881483686,,0.13948391056666737,positive,strong,False,review
z_VIX,0.1356857209092742,0.008175079869042612,2.1153030766307466,0.034404124424421284,-0.004563710312956981,-0.005350132665491909,0.006813348698045863,0.011377059011002843,,0.1356857209092742,positive,strong,False,review
z_EPU,0.12773708246993642,0.005029815537123453,1.913227277252934,0.055718962948288035,-0.0025048616071098127,-0.00496230321315091,0.0043666705398576955,0.006871532146967508,,0.12773708246993642,positive,strong,False,review
z_spread_3m,0.11305250320315846,0.004465469545529969,1.3250134031424212,0.18516670588423856,-0.014250035422175667,0.00710877051658205,0.004099864497711363,0.01834989991988703,,0.11305250320315846,positive,strong,False,review
z_spread_12m,0.08836387197832109,0.0031952405844117085,1.074525392417397,0.2825872703147507,-0.004607842067857526,-0.007574341832708982,0.010001982894319132,0.014609824962176658,,0.08836387197832109,positive,strong,False,review
z_defensive_3m,-0.028443196480168464,-0.00327021686804709,-0.2224869370544756,0.823934841178009,-0.005307603899176393,0.0018165266701370827,0.0003905829486362849,0.005698186847812678,,-0.028443196480168464,negative,weak,False,review
z_DEF,-0.07410072046334445,-0.006840728700405881,-0.8593298505249546,0.3901585597947018,0.0028947382731544014,0.00272999638576416,-0.008725228939321587,-0.011619967212475988,,-0.07410072046334445,negative,moderate,False,review
z_mkt_rf_3m,-0.07456194087631542,-0.004554790507965482,-0.7462095305544384,0.4555408518034617,0.006433936171459364,-0.0069610553003418,-0.0025733751515205922,-0.009007311322979956,,-0.07456194087631542,negative,moderate,False,review
z_spread_vol_12m,-0.16434009701225455,-0.005988019703156688,-2.059144095851306,0.03948043669430801,0.004835426307277884,0.010241308450452107,-0.01682240770829051,-0.021657834015568395,,-0.16434009701225455,negative,strong,False,review
