date,strategy_3A_T1_returns
2023-07-31,0.040554330089911814
2023-08-31,-0.03221541375787749
2023-09-30,-0.003020392075519372
2023-10-31,0.01996295655422458
2023-11-30,-0.05355898506078244
2023-12-31,0.01713569811886659
2024-01-31,0.011902903915051187
2024-02-29,-0.004464059657056114
2024-03-31,0.04555367632409965
2024-04-30,-0.024342054427008257
2024-05-31,-0.03623181436041282
2024-06-30,-0.010520373433625663
2024-07-31,0.026053151149147857
2024-08-31,-0.023161255743686122
2024-09-30,-0.010965772449115806
