date,ret,W_RMW,W_CMA,W_HML,turnover,clip_hit,selected_lambda
2023-07-31,0.04054649548084109,0.3688607541230108,0.32438258895022376,0.30675665692676535,0.0,0.0,1
2023-08-31,-0.032202310192858324,0.3680553214632047,0.3245053482244196,0.30743933031237564,0.0016108653196122424,0.0,1
2023-09-30,-0.003045486787121234,0.36692786266454436,0.32470403277296356,0.3083681045624922,0.002254917597320827,0.0,1
2023-10-31,0.01993182641910599,0.3617690252866776,0.3256224576524422,0.3126085170608802,0.01031767475573342,0.0,1
2023-11-30,-0.05353149357529747,0.3587071037224449,0.32618794604700346,0.31510495023055174,0.006123843128465478,0.0,1
2023-12-31,0.017181692875881744,0.362754099561794,0.3254055696437057,0.31184033079450046,0.00809399167869812,0.0,1
2024-01-31,0.01183198922802056,0.3660486084145124,0.3246166388335198,0.3093347527519679,0.00658901770543685,0.0,1
2024-02-29,-0.00458027885989456,0.3643670219497711,0.3248010209514424,0.3108319570987864,0.0033631729294824053,0.0,1
2024-03-31,0.04565649686979943,0.3610749783568536,0.3253204927526799,0.31360452889046647,0.00658408718583503,0.0,1
2024-04-30,-0.024325902908047262,0.3613093743571097,0.32527659908205164,0.31341402656083867,0.00046879200051214154,0.0,1
2024-05-31,-0.03622795381978306,0.35676165229328305,0.32610879611721044,0.31712955158950634,0.009095444127653118,0.0,1
2024-06-30,-0.010622479657217522,0.3580741748058147,0.3258307361045094,0.3160950890896759,0.0026250450250631663,0.0,1
2024-07-31,0.026227902308552615,0.3657721303528688,0.3176041039303677,0.31662376571676354,0.01645326434828348,0.0,1
2024-08-31,-0.023286130694437253,0.36744175397832857,0.3170386186874624,0.3155196273342091,0.003339247250919497,0.0,1
2024-09-30,-0.010984979376492504,0.3674563476669701,0.31706007410875536,0.31548357822427464,7.209821986892129e-05,0.0,1
